publisher-location,reference-count,publisher,short-container-title,DOI,type,source,is-referenced-by-count,title,prefix,author,member,container-title,original-title,score,subtitle,short-title,references-count,URL,subject,indexed.date-parts,indexed.date-time,indexed.timestamp,content-domain.domain,content-domain.crossmark-restriction,published-print.date-parts,created.date-parts,created.date-time,created.timestamp,deposited.date-parts,deposited.date-time,deposited.timestamp,resource.primary.URL,issued.date-parts,published.date-parts,page,volume,ISSN,issn-type,issue,language,journal-issue.issue,journal-issue.published-print.date-parts,institution,license,abstract,subtype,posted.date-parts,editor,standards-body.name,standards-body.acronym,approved.date-parts
,0,Smithsonian Institution,[],10.5479/si.00775630.29.1,journal-article,Crossref,4,['A Summary of Information on Rose Atoll'],10.5479,"[{'given': 'Marie-Hélène', 'family': 'Sachet', 'sequence': 'first', 'affiliation': []}]",3444,['Atoll Research Bulletin'],[],1,[],[],0,https://doi.org/10.5479/si.00775630.29.1,[],"[[2023, 10, 15]]",2023-10-15T13:17:49Z,1697375869046,[],False,[[1954]],"[[2012, 11, 5]]",2012-11-05T14:58:41Z,1352127521000,"[[2022, 12, 1]]",2022-12-01T22:14:00Z,1669932840000,https://repository.si.edu/handle/10088/5033,[[1954]],[[1954]],1-25,29,['0077-5630'],"[{'value': '0077-5630', 'type': 'print'}]",,en,,,,,,,,,,,
,0,Smithsonian Institution,[],10.5479/si.00963801.1126.457,journal-article,Crossref,1,"['Preliminary diagnoses of new mammals of the genera Lynx, Urocyon, Spilegale, and Mephitis, from the Mexican boundary line']",10.5479,"[{'given': 'Edgar A.', 'family': 'Mearna', 'sequence': 'first', 'affiliation': []}]",3444,['Proceedings of the United States National Museum'],[],1,[],[],0,https://doi.org/10.5479/si.00963801.1126.457,[],"[[2022, 8, 19]]",2022-08-19T12:47:38Z,1660913258488,[],False,[[1897]],"[[2011, 8, 1]]",2011-08-01T16:57:41Z,1312217861000,"[[2014, 7, 15]]",2014-07-15T16:41:48Z,1405442508000,https://repository.si.edu/handle/10088/13484,[[1897]],[[1897]],457-461,20,['0096-3801'],"[{'value': '0096-3801', 'type': 'print'}]",1126,en,1126,[[1897]],,,,,,,,,
"Washington, D.C. :",0,"U.S. Dept. of Agriculture,",[],10.5962/bhl.title.109197,monograph,Crossref,2,['Taros and yautias : promising new food plants for the South /'],10.5962,"[{'given': 'Robert A.', 'family': 'Young', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.109197,[],"[[2023, 8, 26]]",2023-08-26T15:16:11Z,1693062971357,[],False,[[1924]],"[[2015, 10, 19]]",2015-10-19T06:48:28Z,1445237308000,"[[2015, 10, 19]]",2015-10-19T06:48:28Z,1445237308000,http://www.biodiversitylibrary.org/bibliography/109197,[[1924]],[[1924]],,,,,,,,,,,,,,,,,
New York :,0,"Published for the trade,",[],10.5962/bhl.title.63910,monograph,Crossref,1,"[""The Taxidermist's guide : a complete instructor in the art of collecting, preparing, mounting and preserving all kinds of animals, birds, fishes, reptiles and insects /""]",10.5962,"[{'given': 'Jonathan', 'family': 'Dwight', 'sequence': 'first', 'affiliation': []}, {'given': 'Marcia Brady', 'family': 'Tucker', 'sequence': 'additional', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.63910,[],"[[2023, 10, 26]]",2023-10-26T08:58:31Z,1698310711954,[],False,[[1870]],"[[2013, 4, 7]]",2013-04-07T06:00:38Z,1365314438000,"[[2013, 4, 7]]",2013-04-07T06:00:39Z,1365314439000,http://www.biodiversitylibrary.org/bibliography/63910,[[1870]],[[1870]],,,,,,,,,,,,,,,,,
,0,Smithsonian Institution,[],10.5479/si.00810282.250,journal-article,Crossref,5,"['West African Myodocopid Ostracoda (Sarsiellidae, Rutidermatidae)']",10.5479,"[{'given': 'Louis S.', 'family': 'Kornicker', 'sequence': 'first', 'affiliation': []}, {'given': 'F. E.', 'family': 'Caraion', 'sequence': 'additional', 'affiliation': []}]",3444,['Smithsonian Contributions to Zoology'],[],1,[],[],0,https://doi.org/10.5479/si.00810282.250,[],"[[2023, 10, 27]]",2023-10-27T09:01:52Z,1698397312019,[],False,[[1978]],"[[2011, 4, 27]]",2011-04-27T16:59:19Z,1303923559000,"[[2022, 12, 1]]",2022-12-01T22:13:57Z,1669932837000,https://repository.si.edu/handle/10088/5601,[[1978]],[[1978]],1-110,,['0081-0282'],"[{'value': '0081-0282', 'type': 'print'}]",250,en,250,[[1978]],,,,,,,,,
,0,Smithsonian Institution,[],10.5962/bhl.part.1065,journal-article,Crossref,5,['Mammals from Ecuador and related forms'],10.5962,,3444,['Arkiv för zoologi / utgivet af K. Svenska vetenskaps-akademien.'],[],1,[],[],0,https://doi.org/10.5962/bhl.part.1065,[],"[[2023, 11, 3]]",2023-11-03T07:36:07Z,1698996967240,[],False,[[1913]],"[[2016, 1, 14]]",2016-01-14T04:27:56Z,1452745676000,"[[2016, 1, 14]]",2016-01-14T04:27:56Z,1452745676000,http://www.biodiversitylibrary.org/part/1065,[[1913]],[[1913]],1-3,8,['0004-2110'],"[{'value': '0004-2110', 'type': 'print'}]",,,,,,,,,,,,,
,0,Smithsonian Institution,[],10.5479/si.00775630.93.1,journal-article,Crossref,10,"['A brief study of the cays of Arrecife Alacran, a Mexican atoll']",10.5479,"[{'given': 'F. Raymond', 'family': 'Fosberg', 'sequence': 'first', 'affiliation': []}]",3444,['Atoll Research Bulletin'],[],1,[],[],0,https://doi.org/10.5479/si.00775630.93.1,[],"[[2023, 11, 2]]",2023-11-02T19:42:49Z,1698954169285,[],False,[[1962]],"[[2012, 11, 5]]",2012-11-05T14:58:41Z,1352127521000,"[[2022, 12, 1]]",2022-12-01T22:14:01Z,1669932841000,https://repository.si.edu/handle/10088/4935,[[1962]],[[1962]],1-25,93,['0077-5630'],"[{'value': '0077-5630', 'type': 'print'}]",,en,,,,,,,,,,,
Albany :,0,"E. H. Pease & Co.,",[],10.5962/bhl.title.33014,monograph,Crossref,0,"['Elements of scientific agriculture : or, The connection between science and the art of practical farming / By John P. Norton.']",10.5962,"[{'given': 'John Pitkin', 'family': 'Norton', 'sequence': 'first', 'affiliation': []}, {'given': 'John Pitkin', 'family': 'Norton', 'sequence': 'additional', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.33014,[],"[[2022, 4, 3]]",2022-04-03T12:25:54Z,1648988754703,[],False,[[1850]],"[[2011, 11, 22]]",2011-11-22T22:05:01Z,1321999501000,"[[2011, 11, 22]]",2011-11-22T22:05:15Z,1321999515000,http://www.biodiversitylibrary.org/bibliography/33014,[[1850]],[[1850]],,,,,,,,,,,,,,,,,
Toronto :,0,"William Briggs,",[],10.5962/bhl.title.28774,monograph,Crossref,0,"[""Nature's miracles : familiar talks on science / by Elisha Gray.""]",10.5962,"[{'given': 'Elisha', 'family': 'Gray', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.28774,[],"[[2022, 4, 3]]",2022-04-03T12:27:39Z,1648988859485,[],False,[[1899]],"[[2011, 11, 22]]",2011-11-22T21:12:23Z,1321996343000,"[[2011, 11, 22]]",2011-11-22T21:12:32Z,1321996352000,http://www.biodiversitylibrary.org/bibliography/28774,[[1899]],[[1899]],,,,,,,,,,,,,,,,,
"Bridgman, Michigan :",0,"Dass Nursery Company,",[],10.5962/bhl.title.140653,monograph,Crossref,0,"['Dass plant guide : catalogue and price list of strawberry plants, cane fruit plants, grape vines, fruit trees and asparagus : season 1928 /']",10.5962,"[{'name': 'Dass Nursery Company.', 'sequence': 'first', 'affiliation': []}, {'name': 'Henry G. Gilbert Nursery and Seed Trade Catalog Collection.', 'sequence': 'additional', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.140653,[],"[[2022, 4, 3]]",2022-04-03T10:12:09Z,1648980729671,[],False,[[1928]],"[[2017, 11, 12]]",2017-11-12T01:01:41Z,1510448501000,"[[2017, 11, 12]]",2017-11-12T01:01:41Z,1510448501000,https://www.biodiversitylibrary.org/bibliography/140653,[[1928]],[[1928]],,,,,,,,,,,,,,,,,
